,Tweet,Date,User
111,"Good morning! You look amazing today. ;) Did you know today is VCU’s Giving Day? It is. Make a gift toward our general scholarship fund and help our students make it one step closer to graduation. https://t.co/jTv1CyIUSd
#VCUGivingDay #ILoveVCU https://t.co/DJNZN5CJP3",2022-04-28 12:00:27+00:00,VCUCHS
112,"@GovMohamudAli : This scholarship gives you (scholars) the chance to pursue and achieve your aspirations, may this scholarship open world of opportunities for you all. #MarsabitCountyScholarship",2022-04-28 12:00:18+00:00,Galgalofayo
113,@MadeEveryday I think this scholarship may be one of the top 5 most competitive scholarships worldwide. I know people who have been trying for years🥺,2022-04-28 12:00:14+00:00,BorngreatNanor
114,The law puts a million dollars towards scholarships for both current and former foster kids to go to college for free. https://t.co/qLtxd48FXj,2022-04-28 12:00:10+00:00,WLBT
115,ATLANTIC – Hunter Weppler and Brian York were chosen as the recipients of the Patty Hannon Scholarship on Sunday afternoon during the Patty Hannon Concert. https://t.co/XXR8Sm2kX1,2022-04-28 12:00:10+00:00,NewsTelegraph
116,"Happy Deltaversary to our Sorors of A.S.C.E.N.S.I.O.N.: The Trilogy! On April 28, 2019, we welcomed 119 amazing women into our sisterhood. Join us in congratulating them on 3 years of sisterhood, scholarship, social action, &amp; service in SM-LAC. #RichInSisterhood❤️ https://t.co/hVk4HLbzVb",2022-04-28 12:00:04+00:00,smlacdst
117,@IbhsRamsay's Kylan Benson Offered More Than $3M in #Scholarships @BhamCitySchools https://t.co/VnAygVOx4O https://t.co/el2ZL16nJZ,2022-04-28 12:00:01+00:00,BhamTimes
118,"Jabari Nurse is the second @NHSHuskySports product to accept a full scholarship within the last week. 

Full story from @necorridorhoops - https://t.co/KRiyzGR4sb

@Jabarinurse4 @CoachA_Gale @HouseWeBuilt617 @ExpressionsBall https://t.co/xyJTmgUrya",2022-04-28 12:00:00+00:00,NERRHoops
119,"I'm a lucky fuck, I paid off my debt in just a few years because:

1) I had a college fund from my parents/grandparents that helped a LOT
2) I had some decent scholarships
3) I lived with my parents, who charged me next to nothing in rent after college
4) I am a software engineer https://t.co/gwZD0qYs6l",2022-04-28 11:59:43+00:00,exempli_G
120,@WritingIlliniFS Illinois has 4 scholarships now not 3 like you mention in the article FYI. Also a transfer this late in the offseason means the staff is gonna make a move soon. I doubt Illinois fought hard to get BBV back. Similar situation to Podz. Both good guys but no place on new roster,2022-04-28 11:59:31+00:00,ChicagoBob10
121,"""I just won the #I4GDataCamp scholarship and I’m thrilled to learn data skills and build my data career. Thanks to @ingressive4Good and @datacamp"" https://t.co/rUoZFJhZFC",2022-04-28 11:59:18+00:00,crown_deji
122,"still in awe over the fact that JISOO is so influential and popular as their brand's double GA, Dior is holding a fashion show in SK after many years &amp; they're hosting a scholarship prog too 😭💕 I'M SO PROUD TO STAN HER U DON'T UNDERSTAND

#JISOO #DIOR

https://t.co/KREzr2LRQ2",2022-04-28 11:59:07+00:00,haesoofeels
123,"Tough times don’t last,
Tough people do!!!

Congratulations to former Tiger standout Jawan Martin on earning his scholarship at ETSU!! #TFL #MeigsCountyForever https://t.co/9YGa0vXrvW",2022-04-28 11:59:02+00:00,MCHSTigersFB
